race_id,horse_id,race_dt,track_code,race_seq,horse_name,entry_name,program_num,weight,age,morning_odds,claim_price,post_position,start_position,BREED,MEDS,EQUIP,race_number,grade,race_type,purse,purse_usa,claim_max,claim_min,field_size,race_distance_furlongs,surface_code,field_size_bucket,purse_bucket,race_bias_indicator_30,race_bias_indicator_90,class_drop_indicator,distance_switch_indicator,lifetime_start_count,lifetime_win_pct,lifetime_place_pct,lifetime_show_pct,lifetime_mean_speed,lifetime_speed_std,lifetime_mean_finish_pos,lifetime_finish_pos_std,lifetime_mean_beaten_lengths,lifetime_earnings_per_start,dirt_start_count,dirt_win_pct,dirt_itm_pct,dirt_mean_speed,dirt_finish_pos_mean,dirt_beaten_len_mean,turf_start_count,turf_win_pct,turf_itm_pct,turf_mean_speed,turf_finish_pos_mean,turf_beaten_len_mean,syn_start_count,syn_win_pct,syn_itm_pct,syn_mean_speed,syn_finish_pos_mean,syn_beaten_len_mean,dist_lt6_start_count,dist_lt6_win_pct,dist_lt6_mean_speed,dist_lt6_beaten_len_mean,dist_6_8_start_count,dist_6_8_win_pct,dist_6_8_mean_speed,dist_6_8_beaten_len_mean,dist_gt8_start_count,dist_gt8_win_pct,dist_gt8_mean_speed,dist_gt8_beaten_len_mean,track_start_count,track_win_pct,track_mean_speed,track_affinity_score,last_start_date,days_since_last_start,last1_speed,last1_finish,last1_beaten,last1_class,last3_avg_speed,last3_var_speed,last3_avg_finish,last3_var_finish,last3_avg_beaten,last3_var_beaten,last3_avg_class,last3_var_class,last5_avg_speed,last5_avg_finish,last5_avg_beaten,last5_avg_class,speed_improvement_last3,position_improvement_last3,beaten_length_trend,class_rating_trend,last_layoff_bucket,performance_after_layoff_mean,avg_class_last3,max_class_ever_faced,last_class,class_trend,speed_trend,mean_speed_of_field_last3,mean_class_of_field_last3,field_strength_delta,pp_history_count,last_pp_date,days_since_last_pp,pp_last_speed_fig,pp_last_finish_pos,pp_last_field_size,pp_last_lengths_back,pp_last_surface,pp_last_track_code,pp_last_race_type,pp_last_purse,pp_last_claim_max,pp_last_distance,pp_surface_switch,improvement_index,class_rating_change,form_cycle_indicator,pp_consistency_index,pace_pressure_score,race_strength_index,speed_par_adjusted,surface_affinity_score,distance_affinity_score,pp_speed_fig_avg_7,pp_speed_fig_avg_14,pp_speed_fig_avg_30,pp_speed_fig_avg_60,pp_speed_fig_avg_90,pp_speed_fig_avg_180,pp_speed_fig_avg_365,pp_field_size_avg_7,pp_field_size_avg_14,pp_field_size_avg_30,pp_field_size_avg_60,pp_field_size_avg_90,pp_field_size_avg_180,pp_field_size_avg_365,pp_finish_pos_avg_7,pp_finish_pos_avg_14,pp_finish_pos_avg_30,pp_finish_pos_avg_60,pp_finish_pos_avg_90,pp_finish_pos_avg_180,pp_finish_pos_avg_365,pp_lengths_back_avg_7,pp_lengths_back_avg_14,pp_lengths_back_avg_30,pp_lengths_back_avg_60,pp_lengths_back_avg_90,pp_lengths_back_avg_180,pp_lengths_back_avg_365,pp_purse_avg_7,pp_purse_avg_14,pp_purse_avg_30,pp_purse_avg_60,pp_purse_avg_90,pp_purse_avg_180,pp_purse_avg_365,pp_claim_max_avg_7,pp_claim_max_avg_14,pp_claim_max_avg_30,pp_claim_max_avg_60,pp_claim_max_avg_90,pp_claim_max_avg_180,pp_claim_max_avg_365,pp_race_count_7,pp_race_count_14,pp_race_count_30,pp_race_count_60,pp_race_count_90,pp_race_count_180,pp_race_count_365,pp_surface_match_rate_7,pp_surface_match_rate_14,pp_surface_match_rate_30,pp_surface_match_rate_60,pp_surface_match_rate_90,pp_surface_match_rate_180,pp_surface_match_rate_365,pp_distance_match_rate_7,pp_distance_match_rate_14,pp_distance_match_rate_30,pp_distance_match_rate_60,pp_distance_match_rate_90,pp_distance_match_rate_180,pp_distance_match_rate_365,class_rating_avg_7,class_rating_avg_14,class_rating_avg_30,class_rating_avg_60,class_rating_avg_90,class_rating_avg_180,class_rating_avg_365,days_since_last_workout,workout_count_total,workout_count_7d,workout_count_14d,workout_count_30d,workout_count_60d,workout_count_90d,workout_count_180d,workout_count_365d,best_work_time_7d,best_work_time_14d,best_work_time_30d,best_work_time_60d,best_work_time_90d,best_work_time_180d,best_work_time_365d,avg_work_time_7d,avg_work_time_14d,avg_work_time_30d,avg_work_time_60d,avg_work_time_90d,avg_work_time_180d,avg_work_time_365d,median_work_time_30d,median_work_time_60d,median_work_time_90d,median_work_time_180d,median_work_time_365d,sharpener_indicator_7d,sharpener_indicator_14d,return_from_layoff_indicator,pace_call_count,pace_race_count,pace_pos_mean,pace_lengths_mean,pace_early_pos,pace_early_lengths,pace_variability,pace_race_count_7,pace_race_count_14,pace_race_count_30,pace_race_count_60,pace_race_count_90,pace_race_count_180,pace_race_count_365,pace_early_pos_avg_7,pace_early_pos_avg_14,pace_early_pos_avg_30,pace_early_pos_avg_60,pace_early_pos_avg_90,pace_early_pos_avg_180,pace_early_pos_avg_365,pace_mid_pos_avg_30,pace_late_pos_avg_30,pace_early_lengths_avg_7,pace_early_lengths_avg_14,pace_early_lengths_avg_30,pace_early_lengths_avg_60,pace_early_lengths_avg_90,pace_early_lengths_avg_180,pace_early_lengths_avg_365,pace_variability_90,pace_rel_to_field,race_shape_velocity,early_pressure_indicator,run_style_mode,early_pace_percentile,mid_pace_percentile,late_pace_percentile,early_pace_variance,closing_kick_variance,sustained_pace_score,pace_pressure_susceptibility,jockey_starts_7,jockey_wins_7,jockey_win_rate_7,jockey_starts_14,jockey_wins_14,jockey_win_rate_14,jockey_starts_30,jockey_wins_30,jockey_win_rate_30,jockey_starts_60,jockey_wins_60,jockey_win_rate_60,jockey_starts_90,jockey_wins_90,jockey_win_rate_90,jockey_starts_180,jockey_wins_180,jockey_win_rate_180,jockey_starts_365,jockey_wins_365,jockey_win_rate_365,trainer_starts_7,trainer_wins_7,trainer_win_rate_7,trainer_starts_14,trainer_wins_14,trainer_win_rate_14,trainer_starts_30,trainer_wins_30,trainer_win_rate_30,trainer_starts_60,trainer_wins_60,trainer_win_rate_60,trainer_starts_90,trainer_wins_90,trainer_win_rate_90,trainer_starts_180,trainer_wins_180,trainer_win_rate_180,trainer_starts_365,trainer_wins_365,trainer_win_rate_365,combo_starts_30,combo_wins_30,combo_win_rate_30,combo_starts_365,combo_wins_365,combo_win_rate_365,trainer_surface_win_pct,jockey_surface_win_pct,trainer_distance_win_pct,jockey_distance_win_pct,trainer_form_trend,jockey_form_trend,trainer_itm_pct_last30,jockey_trainer_win_pct,trainer_class_effectiveness_score,pp_order,trend_speed_fig,trend_lengths_back,trend_field_size,hungarian_pc1,hungarian_pc2,hungarian_pc3,hungarian_pc4,hungarian_pc5,hungarian_var_exp1,hungarian_var_exp2,hungarian_var_exp3,hungarian_var_exp4,hungarian_var_exp5,trend_finish_pos,trend_early_pace,pace_adj_competition,beaten_len_normalized,adjusted_finish_pos,speed_adj_competition,corrected_last_pace_early,corrected_last_pace_mid,corrected_last_pace_late,corrected_beaten_len,corrected_finish_position,corrected_last_speed,trouble_indicator_flag,improvement_from_pp_to_chart,target_win,z_speed,z_class,z_surface_affinity,z_distance_affinity,z_jockey_winrate,z_trainer_winrate,speed_percentile,class_percentile,trainer_percentile,workout_rank_percentile
AQU_2023-12-03_1,19002209,2023-12-03,,,Bargaining Power,Bargaining Power,3,124.0,4,,40000.0,-1,,TB,UNK,UNK,1,,,,45000.0,40000.0,40000.0,6,-1.0,UNK,small,high,,,0,0,10.0,0.0,0.1,0.2,74.5,2.1213203435596424,2.5,0.7071067811865476,,69100.0,2.0,0.0,1.0,74.5,2.5,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,74.5,,8.0,0.0,76.0,1.5,2023-10-05,59.0,,,,,73.0,,2.0,,,,,,74.5,2.5,,,,,,,31-60,,,,,,-7.086167800453515e-07,63.69047619047619,,7.285714285714292,10.0,2023-10-05,59.0,,,7.0,,,,,47000.0,,,1.0,,,,2.1213203435596424,,8.6,74.5,0.0,0.0,,,,73.0,73.0,74.5,74.5,,,,7.0,7.0,7.0,7.0,,,,2.0,2.0,2.5,2.5,,,,,,,,,,,47000.0,47000.0,49500.0,49500.0,,,,40000.0,40000.0,40000.0,40000.0,0.0,0.0,0.0,3.0,3.0,6.0,6.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,15.0,8.0,0.0,0.0,2.0,6.0,8.0,8.0,8.0,,,3790.0,3790.0,3790.0,3790.0,3790.0,,,4376.5,6567.5,6143.125,6143.125,6143.125,4376.5,5060.0,5011.5,5011.5,5011.5,0.0,0.0,0.0,12.0,2.0,1.7083333333333333,,0.75,,2.593508796743878,0.0,0.0,0.0,1.0,1.0,2.0,2.0,,,,1.5,1.5,0.75,0.75,,,,,,,,,,2.6883080180663823,,,,,0.75,0.55,0.0,1.125,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-7.086167800453515e-07,,0.0,,,,,,,,,,,,,-0.9583333333333334,,1.7083333333333333,,1.5,1.1,0.0,,0.0,,,,0,,,,,,,0.4,0.0,0.0,0.2
AQU_2023-12-03_1,19009670,2023-12-03,,,Swing District,Swing District,5,124.0,4,,40000.0,-1,,TB,UNK,UNK,1,,,,45000.0,40000.0,40000.0,6,-1.0,UNK,small,high,,,0,1,2.0,0.0,0.5,0.5,79.0,,2.0,,,32000.0,1.0,0.0,1.0,79.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,79.0,,1.0,0.0,79.0,0.0,2023-11-02,31.0,,,,,79.0,,2.0,,,,,,79.0,2.0,,,,,,,31-60,,,,,,,72.0,,7.0,2.0,2023-11-02,31.0,79.0,2.0,9.0,,D,AQU,,32000.0,20000.0,650.0,1.0,,,,,,9.0,79.0,0.0,0.0,,,,79.0,79.0,79.0,79.0,,,,9.0,9.0,9.0,9.0,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,32000.0,32000.0,32000.0,32000.0,,,,20000.0,20000.0,20000.0,20000.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,8.0,8.0,0.0,1.0,1.0,7.0,8.0,8.0,8.0,,5280.0,5280.0,4860.0,4860.0,4860.0,4860.0,,5280.0,5280.0,6445.714285714285,6247.5,6247.5,6247.5,5280.0,4920.0,4920.0,4920.0,4920.0,0.0,1.0,0.0,6.0,1.0,1.6666666666666667,,2.5,,1.6609234379304385,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,2.5,2.5,2.5,2.5,,,,,,,,,,1.6609234379304385,,,,,2.5,0.6,0.0,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.8333333333333333,,1.6666666666666667,,2.5,0.6,0.0,,0.0,,,,0,0.7071067811865476,,,,,,0.2,0.0,0.0,0.0
AQU_2023-12-03_1,19015273,2023-12-03,,,Burton Way,Burton Way,4,124.0,4,,40000.0,-1,,TB,UNK,UNK,1,,,,45000.0,40000.0,40000.0,6,-1.0,UNK,small,high,,,0,0,17.0,0.0,0.1176470588235294,0.1176470588235294,75.6,12.720062892926276,4.4,3.2863353450309964,,56352.94117647059,5.0,0.0,0.4,75.6,4.4,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,75.6,,12.0,0.0,82.0,6.400000000000006,2023-11-11,22.0,73.0,4.0,,,73.0,,4.0,,,,,,73.0,4.0,,,,,,,0-30,,,,,,-1.0181239757332314e-06,58.92857142857143,,16.857142857142854,17.0,2023-11-11,22.0,,,7.0,,,,,85000.0,,,1.0,,,,,,8.117647058823529,75.6,0.0,0.0,,,73.0,72.0,72.0,75.6,75.6,,,7.0,7.166666666666667,7.166666666666667,8.533333333333333,8.533333333333333,,,4.0,4.0,4.0,4.4,4.4,,,,,,,,,,85000.0,87500.0,87500.0,57200.0,57200.0,,,0.0,0.0,0.0,30500.0,30500.0,0.0,0.0,3.0,6.0,6.0,15.0,15.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,11.0,8.0,0.0,1.0,3.0,8.0,8.0,8.0,8.0,,5142.0,5000.0,5000.0,5000.0,5000.0,5000.0,,5142.0,5047.333333333333,5077.5,5077.5,5077.5,5077.5,5000.0,5086.5,5086.5,5086.5,5086.5,0.0,1.0,0.0,30.0,5.0,2.8100000000000005,,1.94,,3.853019416080025,0.0,0.0,1.0,2.0,2.0,5.0,5.0,,,1.2,1.6,1.6,1.94,1.94,1.6,0.1,,,,,,,,4.17578698806548,,,,,2.0,4.5,0.0,0.6280000000000003,0.498,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.573388203017833e-07,,-2.143347050754458e-07,,,,,,,,,,,,,-0.8700000000000001,,2.8099999999999996,,1.2,1.6,0.1,,0.1,,,,0,,,,,,,0.4,0.0,0.0,0.6
AQU_2023-12-03_1,20001544,2023-12-03,,,Play,Play,6,122.0,3,,40000.0,-1,,TB,UNK,UNK,1,,,,45000.0,40000.0,40000.0,6,-1.0,UNK,small,high,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,,4990.0,4990.0,3785.0,3785.0,3785.0,3785.0,,4990.0,6821.333333333333,6062.25,6062.25,6062.25,6062.25,5049.0,5019.5,5019.5,5019.5,5019.5,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.4,0.0,0.0,0.6
AQU_2023-12-03_1,20002174,2023-12-03,,,Collect From Ike,Collect From Ike,2,122.0,3,,40000.0,-1,,TB,UNK,UNK,1,,,,45000.0,40000.0,40000.0,6,-1.0,UNK,small,high,,,0,1,17.0,0.0,0.0588235294117647,0.1176470588235294,70.66666666666667,5.316640543300503,4.666666666666667,2.1602468994692865,,63747.05882352941,2.0,0.0,0.0,69.0,5.5,,4.0,0.0,0.5,71.5,4.25,,,,,,,,,,,,,,,,6.0,0.0,70.66666666666667,,11.0,0.0,77.0,6.333333333333329,2023-11-12,21.0,70.0,3.0,,,70.0,,3.0,,,,,,73.5,4.0,,,,,,,0-30,,,,,,4.273637165397319e-07,66.4,,3.5999999999999943,17.0,2023-11-12,21.0,70.0,3.0,16.0,,T,LRL,,44000.0,45000.0,800.0,1.0,,,,4.949747468305833,,10.117647058823527,70.66666666666667,0.0,0.0,,,70.0,73.5,72.66666666666667,72.5,70.66666666666667,,,13.0,10.6,10.875,10.090909090909092,10.117647058823527,,,3.0,4.0,5.333333333333333,5.0,4.666666666666667,,,,,,,,,,44600.0,46040.0,79962.5,70972.72727272728,63747.05882352941,,,45000.0,42500.0,28333.333333333332,31250.0,35833.333333333336,0.0,0.0,2.0,5.0,8.0,11.0,17.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,8.0,8.0,0.0,1.0,3.0,5.0,8.0,8.0,8.0,,5220.0,3728.0,3728.0,3728.0,3728.0,3728.0,,5220.0,4225.333333333333,4535.2,4687.625,4687.625,4687.625,3728.0,5000.0,5000.0,5000.0,5000.0,0.0,1.0,0.0,36.0,6.0,2.438888888888889,,2.6,,2.8723586900741425,0.0,0.0,1.0,2.0,3.0,4.0,6.0,,,1.5,1.25,3.1999999999999997,3.15,2.6,1.5,0.1,,,,,,,,3.0565690535443433,,,,,2.0,2.8,0.1,5.720000000000001,1.7026666666666668,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-3.858024691358025e-06,,2.2045855379188702e-06,,,,,,,,,,,,,0.1611111111111111,,2.438888888888888,,1.5,1.5,0.1,,0.1,,,,0,-0.7071067811865476,,,,,,0.0,0.0,0.0,0.6
AQU_2023-12-03_1,20005005,2023-12-03,,,Tap Your Heart,Tap Your Heart,1,122.0,3,,40000.0,-1,,TB,UNK,UNK,1,,,,45000.0,40000.0,40000.0,6,-1.0,UNK,small,high,,,0,0,6.0,0.0,0.0,0.0,52.0,2.8284271247461903,6.5,3.5355339059327378,,71000.0,1.0,0.0,0.0,54.0,4.0,,1.0,0.0,0.0,50.0,9.0,,,,,,,,,,,,,,,,2.0,0.0,52.0,,4.0,0.0,54.0,2.0,2023-10-28,36.0,,,,,54.0,,4.0,,,,,,54.0,4.0,,,,,,,31-60,,,,,,3.0864197530864196e-06,54.15151515151515,,-3.666666666666664,6.0,2023-10-28,36.0,,,6.0,,,,,52000.0,,,1.0,,,,2.8284271247461903,,8.333333333333334,52.0,0.0,0.0,,,,52.0,52.0,52.0,52.0,,,,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,,,,6.5,6.5,6.5,6.5,,,,,,,,,,,71000.0,71000.0,71000.0,71000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,22.0,8.0,0.0,0.0,2.0,2.0,8.0,8.0,8.0,,,4950.0,4950.0,4950.0,4950.0,4950.0,,,4950.0,4950.0,5034.0,5034.0,5034.0,4950.0,4950.0,5007.5,5007.5,5007.5,0.0,0.0,0.0,12.0,2.0,5.266666666666667,,3.95,,6.089533992221756,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,3.95,3.95,3.95,3.95,,,,,,,,,,6.089533992221756,,,,,3.95,4.05,0.0,7.605000000000001,0.0,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0864197530864196e-06,,-3.6008230452674904e-06,,,,,,,,,,,,,-1.316666666666667,,5.266666666666667,,2.0,1.5,0.0,,0.0,,,,0,,,,,,,0.4,0.0,0.0,0.2
AQU_2023-12-03_2,20005655,2023-12-03,,,Ghostly Girl,Ghostly Girl,1,120.0,3,,40000.0,-1,,TB,UNK,UNK,2,,,,45000.0,40000.0,40000.0,6,-1.0,UNK,small,high,,,0,1,32.0,0.03125,0.125,0.1875,74.75,11.40275086427513,3.5,1.623688281771977,,54718.75,11.0,0.0909090909090909,0.5454545454545454,73.63636363636364,3.4545454545454546,,1.0,0.0,0.0,87.0,4.0,,,,,,,,,,,,,,,,12.0,0.0833333333333333,74.75,,20.0,0.3333333333333333,87.0,12.25,2023-10-26,38.0,,,,,58.5,60.5,5.5,0.5,,,,,58.5,5.5,,,,,,,31-60,,,,,,-2.959567239236662e-07,66.14285714285714,,-2.142857142857139,32.0,2023-10-26,38.0,64.0,6.0,7.0,,D,BAQ,,65000.0,50000.0,700.0,1.0,,,,7.7781745930520225,,7.84375,74.75,0.0,0.0,,,,58.5,65.0,71.2,74.75,,,,7.6,8.125,8.214285714285714,7.84375,,,,5.5,4.333333333333333,4.0,3.5,,,,,,,,,,,65000.0,57500.0,51500.0,54718.75,,,,50000.0,46666.666666666664,45000.0,46250.0,0.0,0.0,0.0,5.0,8.0,14.0,32.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,5.0,5.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,4980.0,4980.0,4854.0,4854.0,4854.0,4854.0,4854.0,4980.0,4980.0,4917.0,4917.0,4983.5,4964.4,4964.4,4917.0,4917.0,5015.0,4980.0,4980.0,1.0,1.0,0.0,72.0,12.0,3.1055555555555556,,2.75,,3.718506776215076,0.0,0.0,0.0,2.0,3.0,5.0,12.0,,,,1.9,2.2666666666666666,2.28,2.75,,,,,,,,,,4.605481246986016,,,,,2.75,2.6,1.5,2.8827272727272732,9.158409090909087,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.700779727095517e-06,,-6.091617933723198e-07,,,,,,,,,,,,,-0.5083333333333333,,3.105555555555555,,3.3,5.0,0.0,,0.0,,,,0,0.0695783714459534,,,,,,0.2,0.0,0.0,0.6
AQU_2023-12-03_2,20006378,2023-12-03,,,Dance With Me Babe,Dance With Me Babe,6,120.0,3,,40000.0,-1,,TB,UNK,UNK,2,,,,45000.0,40000.0,40000.0,6,-1.0,UNK,small,high,,,0,0,19.0,0.0526315789473684,0.1052631578947368,0.2105263157894736,64.33333333333333,7.554248252914824,3.3333333333333335,1.8618986725025255,,48315.78947368421,1.0,1.0,1.0,60.0,1.0,,5.0,0.0,0.6,65.2,3.8,,,,,,,,,,,,,,,,6.0,0.1666666666666666,64.33333333333333,,13.0,0.5,78.0,13.666666666666671,2023-11-10,23.0,,,,,60.0,,1.0,,,,,,62.0,3.0,,,,,,,0-30,,,,,,1.4074848989777404e-07,38.55555555555556,,21.444444444444443,19.0,2023-11-10,23.0,,,9.0,,,,,43000.0,,,1.0,,,,2.8284271247461903,,12.157894736842104,64.33333333333333,0.0,0.0,,,60.0,62.0,62.0,67.25,64.33333333333333,,,10.0,10.8,10.8,11.727272727272728,12.176470588235292,,,1.0,3.0,3.0,2.75,3.3333333333333335,,,,,,,,,,43000.0,43000.0,43000.0,45454.545454545456,44941.17647058824,,,40000.0,40000.0,40000.0,40000.0,40000.0,0.0,0.0,2.0,5.0,5.0,11.0,17.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,31.0,8.0,0.0,0.0,0.0,4.0,8.0,8.0,8.0,,,,4945.0,3652.0,3652.0,3652.0,,,,4947.5,4624.0,4624.0,4624.0,,4947.5,4947.0,4947.0,4947.0,0.0,0.0,0.0,36.0,6.0,1.3250000000000002,,1.2666666666666666,,2.7237972443945657,0.0,0.0,1.0,2.0,2.0,4.0,6.0,,,1.5,0.75,0.75,1.525,1.2666666666666666,0.1,0.0,,,,,,,,1.381588896447811,,,,,1.0,0.05,0.0,2.3866666666666663,0.0,1.2666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1.3227513227513228e-06,,-4.409171075837744e-07,,,,,,,,,,,,,-0.0583333333333332,,1.3250000000000002,,1.5,0.1,0.0,,0.0,,,,0,,,,,,,1.0,0.0,0.0,0.0
AQU_2023-12-03_2,20007227,2023-12-03,,,Starry Midnight,Starry Midnight,4,118.0,3,,40000.0,-1,,TB,UNK,UNK,2,,,,45000.0,40000.0,40000.0,6,-1.0,UNK,small,high,,,0,1,10.0,0.0,0.0,0.0,48.666666666666664,7.234178138070235,5.666666666666667,0.5773502691896257,,88400.0,3.0,0.0,0.0,48.666666666666664,5.666666666666667,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,48.666666666666664,,7.0,0.0,48.666666666666664,0.0,2023-04-16,231.0,45.0,5.0,,,45.0,,5.0,,,,,,44.5,5.5,,,,,,,120+,,,,,,-1.3877078609221472e-06,57.142857142857146,,-12.142857142857146,10.0,2023-04-16,231.0,45.0,5.0,7.0,,D,AQU,,72000.0,62500.0,700.0,1.0,1.0,,1.0,0.7071067811865476,,6.5,48.666666666666664,0.0,0.0,,,,,,,48.666666666666664,,,,,,,6.375,,,,,,,5.666666666666667,,,,,,,,,,,,,,93000.0,,,,,,,20833.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,13.0,8.0,0.0,1.0,3.0,4.0,4.0,4.0,8.0,,10445.0,10258.0,10258.0,10258.0,10258.0,4840.0,,10445.0,10356.0,10364.0,10364.0,10364.0,9649.75,10365.0,10376.5,10376.5,10376.5,10311.5,0.0,1.0,0.0,18.0,3.0,6.355555555555556,,4.033333333333333,,6.932550860823778,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,4.033333333333333,,,,,,,,,,,,,,,4.1,4.5,0.0,1.0033333333333334,21.87,4.033333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.066798941798942e-07,,2.066798941798943e-07,,,,,,,,,,,,,-2.161111111111111,,6.355555555555555,,3.0,5.0,0.0,,0.0,,,,0,-1.5829079503954468,,,,,,0.0,0.0,0.0,1.0
AQU_2023-12-03_2,20007646,2023-12-03,,,Big Hazel,Big Hazel,5,120.0,3,,40000.0,-1,,TB,UNK,UNK,2,,,,45000.0,40000.0,40000.0,6,-1.0,UNK,small,high,,,0,1,26.0,0.0384615384615384,0.0769230769230769,0.0769230769230769,49.111111111111114,22.3184029695476,6.333333333333333,3.5,,77307.69230769231,7.0,0.1428571428571428,0.2857142857142857,53.57142857142857,5.0,,2.0,0.0,0.0,33.5,11.0,,,,,,,,,,,,,,,,9.0,0.1111111111111111,49.111111111111114,,17.0,0.25,63.0,13.888888888888886,2023-11-09,24.0,,,,,64.0,2.0,5.5,0.5,,,,,64.0,5.5,,,,,,,0-30,,,,,,5.616480941699561e-07,65.14285714285714,,-0.1428571428571388,26.0,2023-11-09,24.0,65.0,5.0,7.0,,D,AQU,,45000.0,40000.0,650.0,1.0,2.0,,1.0,1.4142135623730951,,8.961538461538462,49.111111111111114,0.0,0.0,,,65.0,64.0,64.0,53.166666666666664,49.111111111111114,,,7.0,7.6,7.6,7.529411764705882,8.961538461538462,,,5.0,5.5,5.5,5.5,6.333333333333333,,,,,,,,,,45000.0,66000.0,66000.0,79411.76470588235,77307.69230769231,,,40000.0,20000.0,20000.0,6666.666666666667,4444.444444444444,0.0,0.0,2.0,5.0,5.0,17.0,26.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.0,8.0,0.0,0.0,0.0,4.0,8.0,8.0,8.0,,,,4942.0,4942.0,4942.0,4942.0,,,,5021.0,5055.75,5055.75,5055.75,,5021.0,5090.5,5090.5,5090.5,0.0,0.0,0.0,54.0,9.0,5.607407407407407,,3.566666666666667,,8.298257417705848,0.0,0.0,1.0,2.0,2.0,6.0,9.0,,,2.1,2.85,2.85,3.15,3.566666666666667,3.0,0.0,,,,,,,,3.2308175154567023,,,,,2.5,4.1,0.0,8.214999999999998,2.96861111111111,3.566666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1022927689594355e-06,,-5.511463844797181e-07,,,,,,,,,,,,,-2.0675925925925926,,5.6074074074074085,,2.1,3.0,0.0,,0.0,,,,0,0.1565513357533955,,,,,,0.4,0.0,0.0,0.0
